x,y,z
-2.272647,-1.659336,3.866568
-1.971937,-1.377633,3.885259
-1.678341,-1.099483,3.902303
-1.390445,-0.823578,3.918108
-1.107012,-0.548879,3.933015
-0.827015,-0.274569,3.947311
-0.549511,0,3.961246
-2.589636,-1.648704,3.796542
-2.27873,-1.369568,3.826167
-1.97657,-1.093814,3.852983
-1.681629,-0.819978,3.877645
-1.392522,-0.546934,3.900714
-1.108065,-0.273826,3.92266
-0.827186,0,3.94388
0.274136,0.275385,3.97501
0.549423,0.275083,3.964682
0.827015,0.274569,3.947311
-0.274136,0.275385,3.97501
0,0.275588,3.97844
-0.549423,0.275083,3.964682
-0.827015,0.274569,3.947311
3.308348,-1.673247,3.613667
2.918227,-1.636216,3.714826
2.595533,-1.359896,3.756637
2.28334,-1.086877,3.794212
1.979968,-0.81548,3.82851
1.683881,-0.544435,3.860343
1.393736,-0.27283,3.890394
1.108308,0,3.919237
1.108065,0.273826,3.92266
2.923645,-1.348485,3.675724
2.599902,-1.078529,3.725202
2.286674,-0.809968,3.770051
1.982277,-0.541312,3.811369
1.685193,-0.27155,3.850087
1.394031,0,3.886986
1.393736,0.27283,3.890394
-3.308348,-1.673247,3.613667
-2.918227,-1.636216,3.714826
-2.595533,-1.359896,3.756637
-2.28334,-1.086877,3.794212
-1.979968,-0.81548,3.82851
-1.683881,-0.544435,3.860343
-1.393736,-0.27283,3.890394
-1.108308,-1.50E-09,3.919237
-1.108065,0.273826,3.92266
-2.923645,-1.348485,3.675724
-2.599901,-1.078528,3.725202
-2.286674,-0.809967,3.770051
-1.982277,-0.541312,3.811369
-1.685193,-0.27155,3.850087
-1.394031,-3.34E-09,3.886986
-1.393735,0.27283,3.890394
0.54884,0.551332,3.975056
0.826176,0.550329,3.957681
0.273837,0.55192,3.985384
1.107012,0.548879,3.933015
1.392522,0.546934,3.900714
-0.273837,0.55192,3.985384
-1.19E-08,0.552218,3.988816
-0.54884,0.551332,3.975056
-0.826176,0.550329,3.957681
-1.107012,0.548879,3.933015
-1.392522,0.546934,3.900714
3.667446,-1.372024,3.466277
3.264478,-1.33521,3.582367
2.927535,-1.068606,3.645074
2.602981,-0.803304,3.701523
2.28891,-0.537478,3.753166
1.983614,-0.26995,3.801221
1.685522,0,3.846704
1.685193,0.27155,3.850087
1.683881,0.544435,3.860343
3.267571,-1.05693,3.552859
2.930149,-0.79533,3.622102
2.604995,-0.532827,3.685028
2.29019,-0.267982,3.743188
1.983951,0,3.797878
1.983614,0.26995,3.801221
1.982278,0.541312,3.811369
-3.667446,-1.372024,3.466277
-3.264478,-1.33521,3.582367
-2.927535,-1.068606,3.645074
-2.602981,-0.803304,3.701523
-2.28891,-0.537478,3.753167
-1.983614,-0.26995,3.801221
-1.685522,0,3.846704
-1.685193,0.27155,3.850087
-1.683881,0.544435,3.860343
-3.267571,-1.05693,3.552859
-2.930149,-0.79533,3.622102
-2.604995,-0.532827,3.685028
-2.29019,-0.267982,3.743188
-1.983951,0,3.797878
-1.983614,0.26995,3.801221
-1.982278,0.541312,3.811369
0.824746,0.82847,3.975133
1.105215,0.826381,3.950451
0.547847,0.829912,3.992507
0.273328,0.830757,4.002831
1.390445,0.823578,3.918108
1.681629,0.819978,3.877645
1.979968,0.81548,3.82851
-0.273328,0.830757,4.002832
-0.547846,0.829912,3.992507
-2.37E-08,0.831139,4.006265
-0.824746,0.82847,3.975133
-1.105214,0.826381,3.950451
-1.390445,0.823578,3.918108
-1.681629,0.819978,3.877645
-1.979968,0.81548,3.82851
4.037907,-1.079911,3.316393
3.621465,-1.043278,3.447495
3.269475,-0.785835,3.530885
2.931772,-0.527228,3.606168
2.606125,-0.26559,3.675301
2.290505,0,3.739907
2.29019,0.267982,3.743188
2.28891,0.537478,3.753167
2.286674,0.809967,3.770051
3.622295,-0.774513,3.426918
3.2705,-0.520491,3.515738
2.93264,-0.262698,3.596802
2.60639,0,3.67211
2.606124,0.26559,3.675301
2.604996,0.532827,3.685028
2.602981,0.803304,3.701523
-4.037907,-1.079911,3.316393
-3.621465,-1.043278,3.447495
-3.269475,-0.785835,3.530885
-2.931772,-0.527228,3.606168
-2.606124,-0.26559,3.675301
-2.290506,0,3.739907
-2.29019,0.267982,3.743188
-2.28891,0.537478,3.753167
-2.286674,0.809967,3.770051
-3.622295,-0.774513,3.426918
-3.2705,-0.520491,3.515738
-2.93264,-0.262698,3.596802
-2.60639,0,3.67211
-2.606124,0.26559,3.675301
-2.604996,0.532827,3.685028
-2.602981,0.803305,3.701523
1.102609,1.107551,3.975239
1.387427,1.104021,3.942861
0.822675,1.110178,3.99992
0.546408,1.111991,4.017282
0.272592,1.113051,4.027592
1.678341,1.099483,3.902303
1.97657,1.093814,3.852983
2.28334,1.086877,3.794212
2.599901,1.078527,3.725202
-0.546408,1.111991,4.017282
-0.822675,1.110178,3.999921
-0.272592,1.113051,4.027592
0,1.113504,4.031022
-1.102608,1.107551,3.975239
-1.387427,1.104021,3.942861
-1.678341,1.099483,3.902303
-1.97657,1.093814,3.852983
-2.28334,1.086877,3.794212
-2.599901,1.078528,3.725202
4.420373,-0.796852,3.163264
3.990056,-0.760871,3.309209
3.622463,-0.512325,3.412862
3.270968,-0.259194,3.50688
2.932815,0,3.593737
2.93264,0.262698,3.596802
2.931772,0.527228,3.606168
2.930149,0.79533,3.622102
2.927535,1.068606,3.645074
3.988951,-0.502197,3.296666
3.622344,-0.254897,3.404705
3.271006,0,3.503991
3.270968,0.259194,3.50688
3.2705,0.520491,3.515738
3.269475,0.785835,3.530885
3.267571,1.056931,3.552859
-4.420373,-0.796852,3.163264
-3.990056,-0.760871,3.30921
-3.622463,-0.512324,3.412862
-3.270968,-0.259194,3.50688
-2.932815,0,3.593737
-2.93264,0.262698,3.596802
-2.931772,0.527228,3.606168
-2.930149,0.79533,3.622102
-2.927535,1.068606,3.645074
-3.988951,-0.502197,3.296666
-3.622344,-0.254897,3.404705
-3.271006,0,3.503991
-3.270968,0.259194,3.50688
-3.2705,0.520491,3.515738
-3.269475,0.785835,3.530885
-3.267571,1.056931,3.552859
1.383363,1.389509,3.975374
1.673895,1.384232,3.934751
1.099109,1.393606,4.007753
0.819897,1.396647,4.032403
0.544481,1.398739,4.049721
0.271605,1.399961,4.059998
1.971937,1.377634,3.885259
2.27873,1.369568,3.826167
2.595533,1.359896,3.756637
2.923644,1.348485,3.675724
3.264478,1.33521,3.582367
-0.819898,1.396647,4.032403
-1.099109,1.393606,4.007753
-0.544481,1.398739,4.049721
-0.271605,1.399961,4.059998
0,1.400466,4.063418
-1.383363,1.389509,3.975374
-1.673895,1.384232,3.934751
-1.971937,1.377634,3.885259
-2.27873,1.369568,3.826167
-2.595533,1.359896,3.756637
-2.923644,1.348485,3.675724
-3.264478,1.33521,3.582367
4.815567,-0.522777,3.006127
4.371324,-0.489032,3.166338
3.987975,-0.249456,3.289485
3.622173,0,3.402062
3.622344,0.254897,3.404705
3.622463,0.512325,3.412862
3.622294,0.774513,3.426919
3.621464,1.043278,3.447495
3.667446,1.372024,3.466277
3.308348,1.673247,3.613667
2.918227,1.636216,3.714826
2.589636,1.648705,3.796542
2.272647,1.659337,3.866569
1.965903,1.66822,3.925935
1.668147,1.675484,3.975539
1.378131,1.681277,4.016162
1.094612,1.685756,4.048477
0.816331,1.689067,4.073032
0.542007,1.691333,4.090262
0.270338,1.692652,4.100474
4.368983,-0.24208,3.160561
3.987483,0,3.28719
3.987975,0.249456,3.289485
3.988951,0.502197,3.296666
3.990056,0.760871,3.30921
4.037907,1.079911,3.316393
2.960059,1.983681,3.759302
2.58203,1.946133,3.845749
2.2649,1.95742,3.916196
1.958304,1.966823,3.975731
1.660947,1.974483,4.025335
1.371595,1.980559,4.065849
1.088999,1.98522,4.097994
0.811879,1.988635,4.122366
0.538916,1.990955,4.139436
4.420373,0.796852,3.163264
4.371324,0.489032,3.166338
4.368983,0.24208,3.160561
4.367915,0,3.158792
4.766413,-0.230612,3.017533
5.224304,-0.25748,2.84422
2.622102,2.30348,3.903902
2.255372,2.264993,3.97594
1.94899,2.274678,4.035491
1.652153,2.282473,4.084926
1.363615,2.288589,4.125165
1.082136,2.293218,4.156991
0.806425,2.296562,4.181054
4.815567,0.522777,3.006127
4.766413,0.230612,3.017533
4.763773,4.44E-09,3.016797
2.294084,2.632866,4.048178
1.937888,2.592987,4.10616
1.641644,2.600717,4.155207
1.354055,2.606626,4.19495
1.073883,2.610998,4.226255
5.224305,0.25748,2.84422
5.171862,1.36E-08,2.863031
5.647741,1.38E-08,2.676721
1.97569,2.972134,4.192837
1.629367,2.930461,4.237173
1.342793,2.935968,4.276145
1.666671,3.32166,4.338584
-4.815567,-0.522777,3.006127
-4.371324,-0.489032,3.166338
-3.987975,-0.249456,3.289485
-3.622173,0,3.402062
-3.622344,0.254897,3.404705
-3.622463,0.512325,3.412862
-3.622295,0.774513,3.426918
-3.621465,1.043278,3.447495
-3.667446,1.372024,3.466277
-3.308348,1.673247,3.613667
-2.918227,1.636216,3.714826
-2.589636,1.648705,3.796542
-2.272647,1.659338,3.866568
-1.965903,1.66822,3.925935
-1.668147,1.675484,3.975539
-1.378131,1.681277,4.016162
-1.094612,1.685757,4.048477
-0.816331,1.689067,4.073032
-0.542007,1.691333,4.090262
-0.270338,1.692652,4.100474
0,1.693188,4.103875
0.268754,1.992298,4.149541
0.535123,2.298803,4.197867
0.79984,2.614076,4.249836
1.06409,2.939839,4.306666
1.32975,3.277913,4.369775
1.366849,3.681902,4.486136
-4.368983,-0.24208,3.160561
-3.987483,0,3.28719
-3.987975,0.249456,3.289485
-3.988951,0.502197,3.296666
-3.990056,0.760871,3.309209
-4.037907,1.079911,3.316393
-2.960059,1.983681,3.759302
-2.58203,1.946133,3.84575
-2.264901,1.95742,3.916196
-1.958304,1.966823,3.975731
-1.660947,1.974483,4.025335
-1.371594,1.980559,4.065849
-1.088999,1.98522,4.097994
-0.811879,1.988635,4.122366
-0.538916,1.990955,4.139436
-0.268754,1.992298,4.149541
0,1.992839,4.152906
0.266808,2.300086,4.207803
0.530528,2.616089,4.266262
0.791967,2.942434,4.329539
1.052586,3.281065,4.399187
-4.420373,0.796852,3.163264
-4.371324,0.489032,3.166338
-4.368983,0.24208,3.160561
-4.367915,0,3.158792
-4.766413,-0.230612,3.017533
-5.224305,-0.25748,2.84422
-2.622101,2.303481,3.903903
-2.255372,2.264993,3.97594
-1.94899,2.274678,4.035491
-1.652153,2.282473,4.084926
-1.363615,2.288589,4.125165
-1.082136,2.293218,4.156991
-0.806425,2.296562,4.181054
-0.535123,2.298803,4.197867
-0.266808,2.300086,4.207803
0,2.300603,4.211111
0.264445,2.617215,4.275947
0.524997,2.944041,4.345403
0.782603,3.282923,4.421059
1.039171,3.636011,4.504838
1.07609,4.053402,4.63622
-4.815567,0.522777,3.006127
-4.766413,0.230612,3.017533
-4.763773,-4.44E-09,3.016797
-2.294084,2.632866,4.048178
-1.937888,2.592987,4.10616
-1.641643,2.600717,4.155207
-1.354054,2.606626,4.19495
-1.073883,2.610998,4.226255
-0.799839,2.614076,4.249836
-0.530527,2.616089,4.266262
-0.264445,2.617215,4.275947
0,2.617674,4.27917
0.261589,2.9449,4.354728
0.518351,3.283918,4.436135
0.771457,3.636875,4.525347
-5.224304,0.25748,2.84422
-5.171862,-1.36E-08,2.863031
-5.647741,-1.38E-08,2.676721
-1.97569,2.972134,4.192837
-1.629367,2.930461,4.237172
-1.342793,2.935968,4.276146
-1.06409,2.939839,4.306666
-0.791967,2.942434,4.329539
-0.524997,2.944041,4.345403
-0.261589,2.9449,4.354728
0,2.945262,4.357828
0.258132,3.284365,4.444952
0.510303,3.636984,4.53933
0.758047,4.005612,4.643352
0.794299,4.436789,4.789573
-1.666671,3.32166,4.338584
-1.32975,3.277913,4.369775
-1.052586,3.281065,4.399187
-0.782603,3.282923,4.421059
-0.518351,3.283918,4.436135
-0.258132,3.284365,4.444952
0,3.284579,4.447879
0.253896,3.636833,4.547445
0.500338,4.004529,4.655856
-1.366849,3.681902,4.486136
-1.03917,3.636011,4.504838
-0.771457,3.636875,4.525348
-0.510303,3.636984,4.53933
-0.253896,3.636833,4.547445
0,3.636828,4.550128
0.248536,4.003498,4.662989
0.487377,4.387781,4.786473
0.521355,4.832767,4.946944
-1.07609,4.053403,4.63622
-0.758047,4.005612,4.643352
-0.500338,4.004529,4.655856
-0.248536,4.003498,4.662989
0,4.003153,4.665325
0.241274,4.385463,4.792236
-0.794299,4.436789,4.789573
-0.487377,4.387781,4.786473
-0.241274,4.385463,4.792236
0,4.384513,4.794041
0.229955,4.783649,4.935535
0.256981,5.242138,5.10907
-0.521355,4.832767,4.946944
-0.229955,4.783649,4.935535
0,4.781183,4.93633
-0.256981,5.242138,5.10907
0,5.189792,5.090294
0,5.665968,5.276721
