x,y,z
-1.976246,-1.374614,3.909699
-1.682048,-1.097048,3.926907
-1.393546,-0.821738,3.942846
-1.109501,-0.547644,3.95786
-0.828886,-0.273949,3.972234
-0.550864,0,3.986209
-2.595176,-1.645175,3.820664
-2.283659,-1.366592,3.850495
-1.980893,-1.091406,3.877489
-1.685347,-0.818155,3.9023
-1.39563,-0.545708,3.92549
-1.110558,-0.273209,3.947527
-0.829162,0,3.968801
0.27476,0.274761,3.999995
0.550671,0.27446,3.989644
0.828886,0.273949,3.972234
-0.27476,0.274761,3.999995
0,0.274859,4.003429
-0.550671,0.27446,3.989644
-0.828886,0.273949,3.972234
3.315003,-1.66996,3.637539
2.924343,-1.632792,3.738823
2.601079,-1.356976,3.780838
2.288278,-1.084507,3.818605
1.984301,-0.81368,3.853065
1.687606,-0.543222,3.885035
1.396848,-0.272218,3.915192
1.110906,0,3.944102
1.110558,0.273209,3.947527
2.929806,-1.34564,3.699785
2.60545,-1.076207,3.749468
2.291618,-0.808197,3.794493
1.986616,-0.540114,3.835961
1.688922,-0.270944,3.8748
1.397248,0,3.911779
1.396848,0.272218,3.915192
-2.924343,-1.632792,3.738823
-3.315003,-1.66996,3.637539
-2.601079,-1.356976,3.780838
-2.288278,-1.084507,3.818605
-1.984301,-0.81368,3.853065
-1.687606,-0.543222,3.885035
-1.396848,-0.272218,3.915192
-1.110906,0,3.944102
-1.110558,0.273209,3.947527
-2.929806,-1.34564,3.699785
-2.605449,-1.076206,3.749468
-2.291618,-0.808197,3.794493
-1.986615,-0.540114,3.835961
-1.688922,-0.270944,3.8748
-1.397248,0,3.911779
-1.396847,0.272218,3.915192
0.550086,0.550086,3.999994
0.828044,0.549088,3.98258
0.27446,0.550672,4.010345
1.109501,0.547644,3.95786
1.39563,0.545708,3.92549
-0.27446,0.550672,4.010345
0,0.550865,4.01378
-0.550086,0.550086,3.999994
-0.828043,0.549088,3.98258
-1.109501,0.547644,3.95786
-1.39563,0.545708,3.92549
3.674674,-1.369437,3.490069
3.271194,-1.332481,3.606293
2.933686,-1.066348,3.6692
2.608529,-0.801572,3.725838
2.293856,-0.536301,3.777644
1.987955,-0.269352,3.825834
1.689354,0,3.871409
1.688922,0.270944,3.8748
1.687606,0.543222,3.885035
3.274318,-1.054758,3.576833
2.936291,-0.793649,3.646277
2.610541,-0.531678,3.709378
2.295137,-0.267395,3.767686
1.988394,0,3.82248
1.987955,0.269352,3.825834
1.986616,0.540114,3.835961
-3.271194,-1.332481,3.606293
-3.674674,-1.369437,3.490069
-2.933686,-1.066348,3.6692
-2.608529,-0.801572,3.725838
-2.293856,-0.536301,3.777645
-1.987955,-0.269352,3.825834
-1.689354,0,3.871409
-1.688922,0.270944,3.8748
-1.687606,0.543222,3.885035
-3.274318,-1.054758,3.576833
-2.936291,-0.793649,3.646277
-2.610541,-0.531678,3.709378
-2.295137,-0.267395,3.767686
-1.988394,0,3.82248
-1.987955,0.269352,3.825834
-1.986616,0.540114,3.835961
0.826607,0.826608,3.999994
1.107697,0.824528,3.975259
0.549088,0.828044,4.017406
0.273949,0.828886,4.027753
1.393546,0.821738,3.942846
1.685347,0.818155,3.9023
1.984301,0.81368,3.853065
-0.273949,0.828886,4.027754
-0.549087,0.828045,4.017406
0,0.829163,4.031187
-0.826607,0.826608,3.999994
-1.107696,0.824528,3.975259
-1.393546,0.821738,3.942846
-1.685347,0.818155,3.9023
-1.984301,0.81368,3.853065
4.045654,-1.078001,3.340086
3.628738,-1.041225,3.471326
3.276198,-0.784219,3.554909
2.937906,-0.526113,3.630378
2.611669,-0.265018,3.699672
2.295553,0,3.764392
2.295137,0.267395,3.767686
2.293856,0.536301,3.777645
2.291618,0.808197,3.794493
3.629585,-0.772986,3.450782
3.277208,-0.519422,3.539798
2.938769,-0.262143,3.621033
2.612032,0,3.696465
2.611669,0.265018,3.699672
2.610542,0.531678,3.709378
2.608529,0.801572,3.725838
-3.628738,-1.041225,3.471326
-4.045654,-1.078001,3.340086
-3.276198,-0.784219,3.554909
-2.937906,-0.526113,3.630378
-2.611669,-0.265018,3.699672
-2.295553,0,3.764392
-2.295137,0.267395,3.767686
-2.293856,0.536301,3.777645
-2.291618,0.808197,3.794493
-3.629585,-0.772986,3.450782
-3.277208,-0.519422,3.539798
-2.938769,-0.262143,3.621033
-2.612032,0,3.696465
-2.611669,0.265018,3.699672
-2.610542,0.531678,3.709378
-2.608529,0.801573,3.725838
1.10508,1.105081,3.999994
1.390516,1.101566,3.967547
0.824527,1.107697,4.024728
0.547643,1.109502,4.042127
0.273209,1.110558,4.05246
1.682048,1.097048,3.926907
